␔ �� H��␔e�[TFM/test/1], CC, -75, 14:16:07, CC, 47,    -75, 14:16:07, 
[TFM/test/1], CC, -75, 14:16:11, CC, 48,    -75, 14:16:11, 
[TFM/test/1], CC, -75, 14:16:15, CC, 49,    -75, 14:16:15, 
[TFM/test/1], CC, -75, 14:16:19, CC, 50,    -75, 14:16:19, 
[TFM/test/1], CC, -74, 14:16:23, CC, 51,    -74, 14:16:23, 
[TFM/test/1], CC, -75, 14:16:27, CC, 52,    -75, 14:16:27, 
[TFM/test/1], CC, -76, 14:16:31, CC, 53,    -76, 14:16:31, 
[TFM/test/1], CC, -76, 14:16:35, CC, 54,    -76, 14:16:35, 
[TFM/test/1], CC, -74, 14:16:39, CC, 55,    -74, 14:16:39, 
[TFM/test/1], CC, -74, 14:16:43, CC, 56,    -74, 14:16:43, 
[TFM/test/1], CC, -74, 14:16:47, CC, 57,    -74, 14:16:47, 
[TFM/test/1], CC, -75, 14:16:51, CC, 58,    -75, 14:16:51, 
[TFM/test/1], CC, -75, 14:16:55, CC, 59,    -75, 14:16:55, 
[TFM/test/1], CC, -74, 14:16:59, CC, 60,    -74, 14:16:59, 
[TFM/test/1], CC, -74, 14:17:04, CC, 61,    -74, 14:17:04, 
[TFM/test/1], CC, -74, 14:17:08, CC, 62,    -74, 14:17:08, 
[TFM/test/1], CC, -74, 14:17:12, CC, 63,    -74, 14:17:12, 
[TFM/test/1], CC, -75, 14:17:16, CC, 64,    -75, 14:17:16, 
[TFM/test/1], CC, -74, 14:17:20, CC, 65,    -74, 14:17:20, 
[TFM/test/1], CC, -74, 14:17:24, CC, 66,    -74, 14:17:24, 
[TFM/test/1], CC, -74, 14:17:28, CC, 67,    -74, 14:17:28, 
