[TFM/test/1], CC, -75, 14:17:56, CC, 74,    -75, 14:17:56, 
[TFM/test/1], CC, -73, 14:18:00, CC, 75,    -73, 14:18:00, 
[TFM/test/1], CC, -75, 14:18:04, CC, 76,    -75, 14:18:04, 
[TFM/test/1], CC, -75, 14:18:08, CC, 77,    -75, 14:18:08, 
[TFM/test/1], CC, -77, 14:18:12, CC, 78,    -77, 14:18:12, 
[TFM/test/1], CC, -76, 14:18:16, CC, 79,    -76, 14:18:16, 
[TFM/test/1], CC, -76, 14:18:20, CC, 80,    -76, 14:18:20, 
[TFM/test/1], CC, -76, 14:18:24, CC, 81,    -76, 14:18:24, 
[TFM/test/1], CC, -76, 14:18:28, CC, 82,    -76, 14:18:28, 
[TFM/test/1], CC, -76, 14:18:32, CC, 83,    -76, 14:18:32, 
[TFM/test/1], CC, -76, 14:18:36, CC, 84,    -76, 14:18:36, 
[TFM/test/1], CC, -76, 14:18:40, CC, 85,    -76, 14:18:40, 
[TFM/test/1], CC, -75, 14:18:44, CC, 86,    -75, 14:18:44, 
[TFM/test/1], CC, -75, 14:18:48, CC, 87,    -75, 14:18:48, 
[TFM/test/1], CC, -74, 14:18:52, CC, 88,    -74, 14:18:52, 
[TFM/test/1], CC, -76, 14:18:56, CC, 89,    -76, 14:18:56, 
[TFM/test/1], CC, -76, 14:19:00, CC, 90,    -76, 14:19:00, 
[TFM/test/1], CC, -74, 14:19:04, CC, 91,    -74, 14:19:04, 
[TFM/test/1], CC, -75, 14:19:08, CC, 92,    -75, 14:19:08, 
[TFM/test/1], CC, -74, 14:19:12, CC, 93,    -74, 14:19:12, 
[TFM/test/1], CC, -74, 14:19:16, CC, 94,    -74, 14:19:16, 
