Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...failed, rc=-2 try again in 5 seconds
Attempting MQTT connection...connected
[TFM/test/1], AA, -76, 18:45:53, DD, 1,    -68, 18:45:46, 
[TFM/test/1], AA, -76, 18:45:53, FF, 1,    -68, 18:45:49, 
[TFM/test/1], AA, -76, 18:45:53, EE, 1,    -67, 18:45:49, 
[TFM/test/1], AA, -76, 18:45:53, BB, 1,    -78, 18:45:51, 
[TFM/test/1], AA, -76, 18:45:53, AA, 1,    -76, 18:45:53, 
[TFM/test/1], AA, -77, 18:45:54, DD, 2,    -68, 18:45:54, 
[TFM/test/1], AA, -76, 18:45:56, FF, 2,    -68, 18:45:57, 
[TFM/test/1], AA, -76, 18:45:57, EE, 2,    -68, 18:45:57, 
[TFM/test/1], AA, -76, 18:45:57, HH, 1,    -65, 18:45:57, 
[TFM/test/1], AA, -76, 18:45:59, BB, 2,    -78, 18:45:59, 
[TFM/test/1], AA, -77, 18:46:01, HH, 2,    -64, 18:46:01, 
[TFM/test/1], AA, -76, 18:46:01, AA, 2,    -76, 18:46:01, 
[TFM/test/1], AA, -76, 18:46:02, DD, 3,    -68, 18:46:02, 
[TFM/test/1], AA, -77, 18:46:04, FF, 3,    -69, 18:46:05, 
[TFM/test/1], AA, -77, 18:46:04, EE, 3,    -67, 18:46:05, 
[TFM/test/1], AA, -77, 18:46:05, HH, 3,    -64, 18:46:05, 
[TFM/test/1], AA, -76, 18:46:07, BB, 3,    -78, 18:46:07, 
[TFM/test/1], AA, -74, 18:46:09, HH, 4,    -64, 18:46:09, 
[TFM/test/1], AA, -74, 18:46:09, AA, 3,    -74, 18:46:09, 
[TFM/test/1], AA, -74, 18:46:10, DD, 4,    -68, 18:46:10, 
[TFM/test/1], AA, -74, 18:46:12, FF, 4,    -69, 18:46:13, 
[TFM/test/1], AA, -74, 18:46:13, EE, 4,    -68, 18:46:13, 
[TFM/test/1], AA, -74, 18:46:13, HH, 5,    -64, 18:46:13, 
[TFM/test/1], AA, -74, 18:46:15, BB, 4,    -80, 18:46:15, 
[TFM/test/1], AA, -77, 18:46:17, HH, 6,    -64, 18:46:17, 
[TFM/test/1], AA, -77, 18:46:17, AA, 4,    -77, 18:46:17, 
[TFM/test/1], AA, -77, 18:46:18, DD, 5,    -69, 18:46:18, 
[TFM/test/1], AA, -78, 18:46:20, FF, 5,    -69, 18:46:21, 
[TFM/test/1], AA, -78, 18:46:20, EE, 5,    -68, 18:46:21, 
[TFM/test/1], AA, -78, 18:46:21, HH, 7,    -64, 18:46:21, 
[TFM/test/1], AA, -75, 18:46:23, BB, 5,    -80, 18:46:23, 
[TFM/test/1], AA, -74, 18:46:25, HH, 8,    -64, 18:46:25, 
[TFM/test/1], AA, -75, 18:46:25, AA, 5,    -75, 18:46:25, 
[TFM/test/1], AA, -74, 18:46:26, DD, 6,    -69, 18:46:26, 
[TFM/test/1], AA, -74, 18:46:28, FF, 6,    -68, 18:46:29, 
[TFM/test/1], AA, -74, 18:46:29, EE, 6,    -67, 18:46:29, 
[TFM/test/1], AA, -74, 18:46:29, HH, 9,    -64, 18:46:29, 
[TFM/test/1], AA, -74, 18:46:31, BB, 6,    -77, 18:46:31, 
[TFM/test/1], AA, -74, 18:46:33, HH, 10,    -64, 18:46:33, 
[TFM/test/1], AA, -74, 18:46:33, AA, 6,    -74, 18:46:33, 
[TFM/test/1], AA, -74, 18:46:34, DD, 7,    -68, 18:46:34, 
[TFM/test/1], AA, -76, 18:46:37, FF, 7,    -68, 18:46:37, 
[TFM/test/1], AA, -75, 18:46:37, EE, 7,    -66, 18:46:37, 
[TFM/test/1], AA, -75, 18:46:37, HH, 11,    -64, 18:46:37, 
[TFM/test/1], AA, -75, 18:46:39, BB, 7,    -78, 18:46:39, 
[TFM/test/1], AA, -74, 18:46:41, HH, 12,    -63, 18:46:41, 
[TFM/test/1], AA, -74, 18:46:41, AA, 7,    -74, 18:46:41, 
[TFM/test/1], AA, -74, 18:46:42, DD, 8,    -67, 18:46:42, 
[TFM/test/1], AA, -74, 18:46:44, FF, 8,    -67, 18:46:45, 
[TFM/test/1], AA, -74, 18:46:44, EE, 8,    -64, 18:46:45, 
[TFM/test/1], AA, -74, 18:46:45, HH, 13,    -64, 18:46:45, 
[TFM/test/1], AA, -74, 18:46:47, BB, 8,    -77, 18:46:47, 
[TFM/test/1], AA, -75, 18:46:49, HH, 14,    -63, 18:46:49, 
[TFM/test/1], AA, -75, 18:46:49, AA, 8,    -75, 18:46:49, 
[TFM/test/1], AA, -74, 18:46:50, CC, hello world tes
[TFM/test/1], AA, -74, 18:46:52, FF, 9,    -68, 18:46:53, 
Attempting MQTT connection...connected
[TFM/test/1], AA, -74, 18:47:13, BB, 11,    -80, 18:47:13, 
[TFM/test/1], AA, -74, 18:47:14, GG, 3,    -59, 18:47:13, 
[TFM/test/1], AA, -74, 18:47:17, CC, 2,    -48, 18:47:15, 
[TFM/test/1], AA, -72, 18:47:18, FF, 12,    -69, 18:47:17, 
[TFM/test/1], AA, -72, 18:47:18, EE, 12,    -66, 18:47:17, 
[TFM/test/1], AA, -72, 18:47:18, HH, 21,    -65, 18:47:17, 
[TFM/test/1], AA, -72, 18:47:21, AA, 10,    -72, 18:47:21, 
[TFM/test/1], AA, -72, 18:47:21, HH, 22,    -63, 18:47:21, 
[TFM/test/1], AA, -72, 18:47:21, BB, 12,    -79, 18:47:21, 
[TFM/test/1], AA, -72, 18:47:22, GG, 4,    -59, 18:47:21, 
[TFM/test/1], AA, -73, 18:47:23, CC, 3,    -47, 18:47:23, 
[TFM/test/1], AA, -73, 18:47:24, DD, hello world tes
[TFM/test/1], AA, -72, 18:47:25, FF, 13,    -68, 18:47:25, 
[TFM/test/1], AA, -73, 18:47:25, EE, 13,    -66, 18:47:25, 
[TFM/test/1], AA, -73, 18:47:25, HH, 23,    -64, 18:47:25, 
[TFM/test/1], AA, -72, 18:47:29, AA, 11,    -71, 18:47:29, 
[TFM/test/1], AA, -72, 18:47:29, HH, 24,    -64, 18:47:29, 
[TFM/test/1], AA, -72, 18:47:29, BB, 13,    -79, 18:47:29, 
[TFM/test/1], AA, -71, 18:47:31, CC, 4,    -48, 18:47:31, 
[TFM/test/1], AA, -72, 18:47:32, DD, 10,    -68, 18:47:32, 
[TFM/test/1], AA, -73, 18:47:33, FF, 14,    -68, 18:47:33, 
[TFM/test/1], AA, -73, 18:47:33, EE, 14,    -66, 18:47:33, 
[TFM/test/1], AA, -73, 18:47:33, HH, 25,    -63, 18:47:33, 
[TFM/test/1], AA, -72, 18:47:35, GG, hello world tes
[TFM/test/1], AA, -71, 18:47:37, AA, 12,    -71, 18:47:37, 
[TFM/test/1], AA, -71, 18:47:37, HH, 26,    -64, 18:47:37, 
[TFM/test/1], AA, -71, 18:47:37, BB, 14,    -81, 18:47:37, 
[TFM/test/1], AA, -71, 18:47:40, CC, 5,    -51, 18:47:39, 
[TFM/test/1], AA, -71, 18:47:40, DD, 11,    -67, 18:47:40, 
[TFM/test/1], AA, -71, 18:47:41, FF, 15,    -71, 18:47:41, 
[TFM/test/1], AA, -71, 18:47:42, EE, 15,    -65, 18:47:41, 
[TFM/test/1], AA, -71, 18:47:42, HH, 27,    -63, 18:47:41, 
[TFM/test/1], AA, -71, 18:47:42, GG, 1,    -58, 18:47:42, 
[TFM/test/1], AA, -73, 18:47:45, AA, 13,    -73, 18:47:45, 
[TFM/test/1], AA, -73, 18:47:45, HH, 28,    -63, 18:47:45, 
[TFM/test/1], AA, -73, 18:47:46, BB, 15,    -80, 18:47:45, 
[TFM/test/1], AA, -73, 18:47:47, CC, 6,    -48, 18:47:47, 
[TFM/test/1], AA, -73, 18:47:48, DD, 12,    -68, 18:47:48, 
[TFM/test/1], AA, -73, 18:47:49, FF, 16,    -69, 18:47:49, 
[TFM/test/1], AA, -73, 18:47:49, EE, 16,    -66, 18:47:49, 
[TFM/test/1], AA, -73, 18:47:49, HH, 29,    -64, 18:47:49, 
[TFM/test/1], AA, -71, 18:47:53, AA, 14,    -71, 18:47:53, 
[TFM/test/1], AA, -72, 18:47:53, HH, 30,    -63, 18:47:53, 
[TFM/test/1], AA, -72, 18:47:53, BB, 16,    -78, 18:47:53, 
[TFM/test/1], AA, -73, 18:47:55, CC, 7,    -53, 18:47:55, 
[TFM/test/1], AA, -72, 18:47:56, DD, 13,    -68, 18:47:56, 
[TFM/test/1], AA, -72, 18:47:57, FF, 17,    -69, 18:47:57, 
[TFM/test/1], AA, -72, 18:47:57, EE, 17,    -65, 18:47:57, 
[TFM/test/1], AA, -72, 18:47:57, HH, 31,    -63, 18:47:57, 
[TFM/test/1], AA, -72, 18:48:01, AA, 15,    -72, 18:48:01, 
[TFM/test/1], AA, -72, 18:48:01, HH, 32,    -64, 18:48:01, 
[TFM/test/1], AA, -72, 18:48:01, BB, 17,    -82, 18:48:01, 
[TFM/test/1], AA, -72, 18:48:03, CC, 8,    -52, 18:48:03, 
[TFM/test/1], AA, -72, 18:48:04, DD, 14,    -67, 18:48:04, 
[TFM/test/1], AA, -71, 18:48:05, FF, 18,    -68, 18:48:05, 
[TFM/test/1], AA, -72, 18:48:05, EE, 18,    -65, 18:48:05, 
[TFM/test/1], AA, -72, 18:48:05, HH, 33,    -64, 18:48:05, 
[TFM/test/1], AA, -71, 18:48:09, AA, 16,    -71, 18:48:09, 
[TFM/test/1], AA, -71, 18:48:10, HH, 34,    -63, 18:48:09, 
[TFM/test/1], AA, -72, 18:48:10, BB, 18,    -80, 18:48:09, 
[TFM/test/1], AA, -71, 18:48:12, CC, 9,    -52, 18:48:11, 
[TFM/test/1], AA, -71, 18:48:12, DD, 15,    -67, 18:48:12, 
[TFM/test/1], AA, -71, 18:48:13, FF, 19,    -68, 18:48:13, 
[TFM/test/1], AA, -71, 18:48:13, EE, 19,    -65, 18:48:13, 
[TFM/test/1], AA, -71, 18:48:13, HH, 35,    -63, 18:48:13, 
[TFM/test/1], AA, -72, 18:48:17, AA, 17,    -72, 18:48:17, 
[TFM/test/1], AA, -72, 18:48:17, HH, 36,    -63, 18:48:17, 
[TFM/test/1], AA, -72, 18:48:17, BB, 19,    -81, 18:48:17, 
[TFM/test/1], AA, -72, 18:48:19, CC, 10,    -53, 18:48:19, 
[TFM/test/1], AA, -72, 18:48:20, DD, 16,    -68, 18:48:20, 
[TFM/test/1], AA, -72, 18:48:21, FF, 20,    -69, 18:48:21, 
[TFM/test/1], AA, -72, 18:48:21, EE, 20,    -66, 18:48:21, 
[TFM/test/1], AA, -72, 18:48:21, HH, 37,    -64, 18:48:21, 
[TFM/test/1], AA, -73, 18:48:25, AA, 18,    -73, 18:48:25, 
[TFM/test/1], AA, -73, 18:48:25, HH, 38,    -64, 18:48:25, 
[TFM/test/1], AA, -73, 18:48:25, BB, 20,    -81, 18:48:25, 
[TFM/test/1], AA, -73, 18:48:27, CC, 11,    -52, 18:48:27, 
[TFM/test/1], AA, -72, 18:48:29, FF, 21,    -68, 18:48:29, 
[TFM/test/1], AA, -72, 18:48:29, EE, 21,    -65, 18:48:29, 
[TFM/test/1], AA, -72, 18:48:29, HH, 39,    -64, 18:48:29, 
[TFM/test/1], AA, -73, 18:48:33, AA, 19,    -73, 18:48:33, 
[TFM/test/1], AA, -73, 18:48:33, HH, 40,    -63, 18:48:33, 
[TFM/test/1], AA, -73, 18:48:33, BB, 21,    -82, 18:48:33, 
[TFM/test/1], AA, -73, 18:48:35, CC, 12,    -52, 18:48:35, 
[TFM/test/1], AA, -73, 18:48:37, FF, 22,    -69, 18:48:37, 
[TFM/test/1], AA, -73, 18:48:37, EE, 22,    -66, 18:48:37, 
[TFM/test/1], AA, -73, 18:48:37, HH, 41,    -64, 18:48:37, 
[TFM/test/1], AA, -73, 18:48:41, AA, 20,    -73, 18:48:41, 
[TFM/test/1], AA, -73, 18:48:41, HH, 42,    -63, 18:48:41, 
[TFM/test/1], AA, -73, 18:48:41, BB, 22,    -81, 18:48:41, 
[TFM/test/1], AA, -73, 18:48:43, CC, 13,    -52, 18:48:43, 
[TFM/test/1], AA, -73, 18:48:45, FF, 23,    -68, 18:48:45, 
[TFM/test/1], AA, -73, 18:48:46, EE, 23,    -66, 18:48:45, 
[TFM/test/1], AA, -73, 18:48:46, HH, 43,    -64, 18:48:45, 
[TFM/test/1], AA, -74, 18:48:49, DD, hello world tes
[TFM/test/1], AA, -74, 18:48:49, AA, 21,    -74, 18:48:49, 
[TFM/test/1], AA, -73, 18:48:49, HH, 44,    -65, 18:48:49, 
[TFM/test/1], AA, -73, 18:48:49, BB, 23,    -83, 18:48:49, 
[TFM/test/1], AA, -72, 18:48:51, CC, 14,    -53, 18:48:51, 
[TFM/test/1], AA, -73, 18:48:53, EE, 24,    -66, 18:48:53, 
[TFM/test/1], AA, -72, 18:48:53, HH, 45,    -65, 18:48:53, 
[TFM/test/1], AA, -72, 18:48:57, DD, 18,    -69, 18:48:57, 
[TFM/test/1], AA, -72, 18:48:57, AA, 22,    -72, 18:48:57, 
[TFM/test/1], AA, -71, 18:48:57, BB, 24,    -82, 18:48:57, 
[TFM/test/1], AA, -71, 18:48:59, CC, 15,    -52, 18:48:59, 
[TFM/test/1], AA, -71, 18:49:01, EE, 25,    -66, 18:49:01, 
[TFM/test/1], AA, -71, 18:49:03, FF, 24,    -68, 18:49:03, 
[TFM/test/1], AA, -72, 18:49:05, DD, 19,    -69, 18:49:05, 
[TFM/test/1], AA, -72, 18:49:05, AA, 23,    -72, 18:49:05, 
[TFM/test/1], AA, -72, 18:49:05, BB, 25,    -83, 18:49:05, 
[TFM/test/1], AA, -72, 18:49:07, CC, 16,    -53, 18:49:07, 
[TFM/test/1], AA, -73, 18:49:09, EE, 26,    -67, 18:49:09, 
[TFM/test/1], AA, -72, 18:49:11, FF, 25,    -68, 18:49:11, 
[TFM/test/1], AA, -72, 18:49:22, DD, 20,    -68, 18:49:13, 
[TFM/test/1], AA, -72, 18:49:22, BB, 26,    -83, 18:49:13, 
[TFM/test/1], AA, -72, 18:49:22, CC, 17,    -54, 18:49:15, 
[TFM/test/1], AA, -72, 18:49:22, EE, 27,    -65, 18:49:17, 
[TFM/test/1], AA, -72, 18:49:22, hello world test
[TFM/test/1], AA, -72, 18:49:22, FF, 26,    -68, 18:49:19, 
[TFM/test/1], AA, -72, 18:49:22, DD, 21,    -68, 18:49:21, 
[TFM/test/1], AA, -72, 18:49:22, BB, 27,    -83, 18:49:21, 
[TFM/test/1], AA, -72, 18:49:22, HH, 47,    -62, 18:49:21, 
[TFM/test/1], AA, -72, 18:49:22, AA, 24,    -72, 18:49:22, 
[TFM/test/1], AA, -72, 18:49:23, CC, 18,    -52, 18:49:23, 
[TFM/test/1], AA, -71, 18:49:25, EE, 28,    -65, 18:49:25, 
[TFM/test/1], AA, -71, 18:49:26, HH, 48,    -64, 18:49:25, 
[TFM/test/1], AA, -71, 18:49:27, FF, 27,    -67, 18:49:27, 
[TFM/test/1], AA, -71, 18:49:29, DD, 22,    -67, 18:49:29, 
[TFM/test/1], AA, -71, 18:49:29, BB, 28,    -81, 18:49:29, 
[TFM/test/1], AA, -72, 18:49:29, HH, 49,    -63, 18:49:29, 
[TFM/test/1], AA, -71, 18:49:30, AA, 25,    -72, 18:49:30, 
[TFM/test/1], AA, -71, 18:49:33, EE, 29,    -65, 18:49:33, 
[TFM/test/1], AA, -72, 18:49:33, HH, 50,    -63, 18:49:33, 
[TFM/test/1], AA, -72, 18:49:35, FF, 28,    -68, 18:49:35, 
[TFM/test/1], AA, -71, 18:49:37, DD, 23,    -68, 18:49:37, 
[TFM/test/1], AA, -71, 18:49:37, BB, 29,    -82, 18:49:37, 
[TFM/test/1], AA, -71, 18:49:38, HH, 51,    -64, 18:49:37, 
[TFM/test/1], AA, -71, 18:49:38, AA, 26,    -71, 18:49:38, 
[TFM/test/1], AA, -71, 18:49:41, EE, 30,    -65, 18:49:41, 
[TFM/test/1], AA, -71, 18:49:41, HH, 52,    -64, 18:49:41, 
[TFM/test/1], AA, -71, 18:49:43, FF, 29,    -68, 18:49:43, 
[TFM/test/1], AA, -71, 18:49:45, DD, 24,    -67, 18:49:45, 
[TFM/test/1], AA, -72, 18:49:45, BB, 30,    -81, 18:49:45, 
[TFM/test/1], AA, -72, 18:49:45, HH, 53,    -64, 18:49:45, 
[TFM/test/1], AA, -73, 18:49:46, AA, 27,    -72, 18:49:46, 
[TFM/test/1], AA, -73, 18:49:49, HH, 54,    -63, 18:49:49, 
[TFM/test/1], AA, -73, 18:49:51, FF, 30,    -69, 18:49:51, 
[TFM/test/1], AA, -73, 18:49:53, DD, 25,    -67, 18:49:53, 
[TFM/test/1], AA, -73, 18:49:53, BB, 31,    -81, 18:49:53, 
[TFM/test/1], AA, -73, 18:49:54, HH, 55,    -63, 18:49:53, 
[TFM/test/1], AA, -73, 18:49:54, AA, 28,    -73, 18:49:54, 
[TFM/test/1], AA, -72, 18:49:57, HH, 56,    -64, 18:49:57, 
[TFM/test/1], AA, -72, 18:49:59, FF, 31,    -68, 18:49:59, 
[TFM/test/1], AA, -72, 18:50:00, DD, 26,    -68, 18:50:01, 
[TFM/test/1], AA, -72, 18:50:01, BB, 32,    -82, 18:50:01, 
[TFM/test/1], AA, -72, 18:50:02, HH, 57,    -64, 18:50:01, 
[TFM/test/1], AA, -72, 18:50:02, AA, 29,    -72, 18:50:02, 
[TFM/test/1], AA, -73, 18:50:03, EE, 31,    -65, 18:50:03, 
[TFM/test/1], AA, -71, 18:50:05, HH, 58,    -63, 18:50:05, 
[TFM/test/1], AA, -72, 18:50:07, FF, 32,    -68, 18:50:07, 
[TFM/test/1], AA, -72, 18:50:09, DD, 27,    -67, 18:50:09, 
[TFM/test/1], AA, -72, 18:50:09, BB, 33,    -82, 18:50:09, 
[TFM/test/1], AA, -73, 18:50:09, HH, 59,    -64, 18:50:09, 
[TFM/test/1], AA, -73, 18:50:10, AA, 30,    -73, 18:50:10, 
[TFM/test/1], AA, -73, 18:50:11, EE, 32,    -65, 18:50:11, 
[TFM/test/1], AA, -73, 18:50:13, HH, 60,    -63, 18:50:13, 
